start_time,end_time,o,h,l,c
2021-08-18 17:40:00,2021-08-18 21:40:00,45777.8,46000.0,44401.0,44558.26
2021-08-18 21:40:00,2021-08-19 01:40:00,44558.25,45192.89,44480.58,45149.84
2021-08-19 01:40:00,2021-08-19 05:40:00,45149.84,45234.56,43927.7,44381.35
2021-08-19 05:40:00,2021-08-19 09:40:00,44381.35,45000.0,44207.48,44725.86
2021-08-19 09:40:00,2021-08-19 13:40:00,44725.86,44866.14,44123.65,44683.05
2021-08-19 13:40:00,2021-08-19 17:40:00,44683.05,45951.33,44631.0,45706.01
2021-08-19 17:40:00,2021-08-19 21:40:00,45706.01,46877.1,45612.95,46600.01
2021-08-19 21:40:00,2021-08-20 01:40:00,46600.01,47390.0,46340.12,47215.79
2021-08-20 01:40:00,2021-08-20 05:40:00,47215.79,47309.92,46827.0,47090.21
2021-08-20 05:40:00,2021-08-20 09:40:00,47090.2,47273.4,46700.24,47250.0
2021-08-20 09:40:00,2021-08-20 13:40:00,47250.0,47646.73,46865.74,47553.48
2021-08-20 13:40:00,2021-08-20 17:40:00,47553.49,49096.34,47513.0,48605.87
2021-08-20 17:40:00,2021-08-20 21:40:00,48605.87,48850.0,48289.43,48847.79
2021-08-20 21:40:00,2021-08-21 01:40:00,48847.8,49382.99,48713.5,48854.59
2021-08-21 01:40:00,2021-08-21 05:40:00,48854.59,49100.0,48555.0,48821.32
2021-08-21 05:40:00,2021-08-21 09:40:00,48821.32,49104.82,48600.0,48774.95
2021-08-21 09:40:00,2021-08-21 13:40:00,48774.94,49405.52,48222.0,49170.86
2021-08-21 13:40:00,2021-08-21 17:40:00,49170.86,49697.8,48926.92,49600.48
2021-08-23 17:40:00,2021-08-23 21:40:00,49490.64,49625.33,49029.0,49533.79
2021-08-23 21:40:00,2021-08-24 01:40:00,49533.8,49739.37,48776.26,49064.49
2021-08-24 01:40:00,2021-08-24 05:40:00,49064.48,49571.55,48927.76,49537.51
2021-08-24 05:40:00,2021-08-24 09:40:00,49537.5,49860.0,49483.85,49685.85
2021-08-24 09:40:00,2021-08-24 13:40:00,49685.85,49846.0,48466.27,48515.11
2021-08-24 13:40:00,2021-08-24 17:40:00,48515.11,48719.12,47749.1,48178.68
